price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2023,magic_repo60_c425_c5gt8_regime,7,7,0.1899770729586421,0.0588583076158053,0.7142857142857143,7,0.2977132084441559,0.1452419039592731,0.7142857142857143,0.14285714285714285,0.0
raw,2024,magic_repo60_c425_c5gt8_regime,1,1,-0.1383610867673587,-0.1383610867673587,0.0,1,-0.3415846951051295,-0.3415846951051295,0.0,0.0,0.0
raw,2025,magic_repo60_c425_c5gt8_regime,2,2,-0.17288833688337216,-0.17288833688337216,0.0,2,-0.32611177468108216,-0.32611177468108216,0.0,0.0,0.0
raw,2026,magic_repo60_c425_c5gt8_regime,9,8,0.3476337609140543,0.27708838783418965,1.0,3,0.38094103804014817,0.4267191606423355,0.6666666666666666,0.2222222222222222,0.0
raw,2021,magic_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_c440_c5gt3_regime,18,18,0.11461055927307834,0.0605362394386068,0.6111111111111112,18,0.21863963490741345,0.15386603942720772,0.6666666666666666,0.16666666666666666,0.1111111111111111
raw,2024,magic_c440_c5gt3_regime,9,9,-0.01982231972639885,-0.0925461711839033,0.2222222222222222,9,-0.03342302343833108,-0.1190009671082794,0.2222222222222222,0.1111111111111111,0.0
raw,2025,magic_c440_c5gt3_regime,13,13,0.04002053895385354,0.0458269612811221,0.5384615384615384,13,-0.0020907731988308864,-0.1298245463012459,0.38461538461538464,0.3076923076923077,0.07692307692307693
raw,2026,magic_c440_c5gt3_regime,31,29,0.1835289136341045,0.1719154154713043,0.7241379310344828,10,0.21076208047076728,0.08152236903243895,0.7,0.3870967741935484,0.2903225806451613
raw,2021,magic_repo40_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c440_c5gt3_regime,15,15,0.1141510232740975,0.0588583076158053,0.6,15,0.2282895337070272,0.1624901748951423,0.6666666666666666,0.2,0.13333333333333333
raw,2024,magic_repo40_c440_c5gt3_regime,7,7,0.0542773665966663,-0.078263568350498,0.2857142857142857,7,0.0193399053694305,-0.0731057918082048,0.2857142857142857,0.0,0.0
raw,2025,magic_repo40_c440_c5gt3_regime,11,11,0.044901345671790535,0.0458269612811221,0.5454545454545454,11,-0.01616189791402132,-0.1298245463012459,0.36363636363636365,0.36363636363636365,0.09090909090909091
raw,2026,magic_repo40_c440_c5gt3_regime,28,26,0.20544926982106793,0.18639988574538055,0.7692307692307693,9,0.2257983588022524,0.0876091625774768,0.6666666666666666,0.35714285714285715,0.25
raw,2021,magic_repo50_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c440_c5gt3_regime,14,14,0.13346185034865615,0.0605362394386068,0.6428571428571429,14,0.24952390493600554,0.18333109798994535,0.7142857142857143,0.14285714285714285,0.07142857142857142
raw,2024,magic_repo50_c440_c5gt3_regime,5,5,0.08054387033336771,-0.0925461711839033,0.2,5,0.0031645657392738724,-0.1190009671082794,0.2,0.0,0.0
raw,2025,magic_repo50_c440_c5gt3_regime,8,8,0.056412539632038516,0.0672231737772804,0.625,8,-0.009714568722280669,-0.1193956186965307,0.375,0.375,0.125
raw,2026,magic_repo50_c440_c5gt3_regime,24,22,0.2315728369047716,0.20088824060502325,0.8181818181818182,8,0.31662933565810536,0.2571641616099062,0.75,0.3333333333333333,0.25
raw,2021,magic_repo60_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c440_c5gt3_regime,11,11,0.16273418896561764,0.0622141712614083,0.7272727272727273,11,0.28922472130457316,0.2168300680437533,0.7272727272727273,0.18181818181818182,0.09090909090909091
raw,2024,magic_repo60_c440_c5gt3_regime,3,3,0.2242877300365577,-0.078263568350498,0.3333333333333333,3,0.06930986253761785,-0.3194685578916159,0.3333333333333333,0.0,0.0
raw,2025,magic_repo60_c440_c5gt3_regime,6,6,0.047481773787775704,0.0304082345754672,0.5,6,-0.08175366799264304,-0.18970811869653065,0.16666666666666666,0.5,0.16666666666666666
raw,2026,magic_repo60_c440_c5gt3_regime,16,14,0.25915391800114773,0.2035788432752588,0.8571428571428571,6,0.40443369196934814,0.537720543870992,0.6666666666666666,0.375,0.25
raw,2021,magic_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_c440_c5gt5_regime,18,18,0.11461055927307834,0.0605362394386068,0.6111111111111112,18,0.21863963490741345,0.15386603942720772,0.6666666666666666,0.16666666666666666,0.1111111111111111
raw,2024,magic_c440_c5gt5_regime,8,8,-0.0001004012848322966,-0.08540486976720066,0.25,8,-0.028462677392096875,-0.16846818355358478,0.25,0.125,0.0
raw,2025,magic_c440_c5gt5_regime,13,13,0.04002053895385354,0.0458269612811221,0.5384615384615384,13,-0.0020907731988308864,-0.1298245463012459,0.38461538461538464,0.3076923076923077,0.07692307692307693
raw,2026,magic_c440_c5gt5_regime,31,29,0.1835289136341045,0.1719154154713043,0.7241379310344828,10,0.21076208047076728,0.08152236903243895,0.7,0.3870967741935484,0.2903225806451613
raw,2021,magic_repo40_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c440_c5gt5_regime,15,15,0.1141510232740975,0.0588583076158053,0.6,15,0.2282895337070272,0.1624901748951423,0.6666666666666666,0.2,0.13333333333333333
raw,2024,magic_repo40_c440_c5gt5_regime,6,6,0.09292320557259921,-0.06804224478435535,0.3333333333333333,6,0.03474752156570305,-0.06853646617454555,0.3333333333333333,0.0,0.0
raw,2025,magic_repo40_c440_c5gt5_regime,11,11,0.044901345671790535,0.0458269612811221,0.5454545454545454,11,-0.01616189791402132,-0.1298245463012459,0.36363636363636365,0.36363636363636365,0.09090909090909091
raw,2026,magic_repo40_c440_c5gt5_regime,28,26,0.20544926982106793,0.18639988574538055,0.7692307692307693,9,0.2257983588022524,0.0876091625774768,0.6666666666666666,0.35714285714285715,0.25
raw,2021,magic_repo50_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c440_c5gt5_regime,14,14,0.13346185034865615,0.0605362394386068,0.6428571428571429,14,0.24952390493600554,0.18333109798994535,0.7142857142857143,0.14285714285714285,0.07142857142857142
raw,2024,magic_repo50_c440_c5gt5_regime,4,4,0.14507925473144245,-0.08540486976720066,0.25,4,0.022232155126143543,-0.21923476249994764,0.25,0.0,0.0
raw,2025,magic_repo50_c440_c5gt5_regime,8,8,0.056412539632038516,0.0672231737772804,0.625,8,-0.009714568722280669,-0.1193956186965307,0.375,0.375,0.125
raw,2026,magic_repo50_c440_c5gt5_regime,24,22,0.2315728369047716,0.20088824060502325,0.8181818181818182,8,0.31662933565810536,0.2571641616099062,0.75,0.3333333333333333,0.25
raw,2021,magic_repo60_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c440_c5gt5_regime,11,11,0.16273418896561764,0.0622141712614083,0.7272727272727273,11,0.28922472130457316,0.2168300680437533,0.7272727272727273,0.18181818181818182,0.09090909090909091
raw,2024,magic_repo60_c440_c5gt5_regime,3,3,0.2242877300365577,-0.078263568350498,0.3333333333333333,3,0.06930986253761785,-0.3194685578916159,0.3333333333333333,0.0,0.0
