signal,raw_signals,adj_signals,raw_avg_20d,adj_avg_20d,raw_median_20d,adj_median_20d,raw_win_20d,adj_win_20d,raw_avg_60d,adj_avg_60d,raw_median_60d,adj_median_60d,raw_win_60d,adj_win_60d,raw_pct_signal_day_gt9,adj_pct_signal_day_gt9,raw_pct_next_gap_gt3,adj_pct_next_gap_gt3,avg_raw_adj_median_20d,avg_raw_adj_win_20d,min_raw_adj_signals,rank_score
magic_repo60_c425_c5gt8_regime,19.0,17.0,0.2014873243049348,0.2065676846707864,0.13241297965884863,0.13241297965884863,0.7222222222222222,0.6875,0.1717697945201725,0.15314180228297103,0.1312840180507503,-0.0820796611980584,0.5384615384615384,0.4,0.15789473684210525,0.17647058823529413,0.0,0.0,0.13241297965884863,0.7048611111111112,17.0,0.17763520188107088
magic_repo60_c425_c5gt3_regime,19.0,17.0,0.2014873243049348,0.2065676846707864,0.13241297965884863,0.13241297965884863,0.7222222222222222,0.6875,0.1717697945201725,0.15314180228297103,0.1312840180507503,-0.0820796611980584,0.5384615384615384,0.4,0.15789473684210525,0.17647058823529413,0.0,0.0,0.13241297965884863,0.7048611111111112,17.0,0.17763520188107088
magic_repo60_c425_c5gt5_regime,19.0,17.0,0.2014873243049348,0.2065676846707864,0.13241297965884863,0.13241297965884863,0.7222222222222222,0.6875,0.1717697945201725,0.15314180228297103,0.1312840180507503,-0.0820796611980584,0.5384615384615384,0.4,0.15789473684210525,0.17647058823529413,0.0,0.0,0.13241297965884863,0.7048611111111112,17.0,0.17763520188107088
magic_repo50_c425_c5gt5_regime,28.0,25.0,0.17259828579377204,0.17469965574554544,0.1302935583957769,0.09711369626144224,0.7037037037037037,0.6666666666666666,0.14443290436991987,0.12100221067871196,0.10944659031411355,0.012636254520019999,0.6111111111111112,0.5,0.14285714285714285,0.16,0.03571428571428571,0.04,0.11370362732860956,0.6851851851851851,25.0,0.1569906643656466
magic_repo50_c425_c5gt8_regime,28.0,25.0,0.17259828579377204,0.17469965574554544,0.1302935583957769,0.09711369626144224,0.7037037037037037,0.6666666666666666,0.14443290436991987,0.12100221067871196,0.10944659031411355,0.012636254520019999,0.6111111111111112,0.5,0.14285714285714285,0.16,0.03571428571428571,0.04,0.11370362732860956,0.6851851851851851,25.0,0.1569906643656466
magic_repo60_c440_c5gt5_regime,36.0,32.0,0.1875289636315938,0.1909294065744244,0.12685470665065865,0.0886193862734387,0.7058823529411765,0.6551724137931034,0.20482621791628414,0.2107476857828502,0.1382629610050117,-0.0062420494071877,0.5384615384615384,0.47619047619047616,0.3055555555555556,0.3125,0.16666666666666666,0.15625,0.10773704646204868,0.6805273833671399,32.0,0.15184252313547666
magic_repo60_c440_c5gt8_regime,36.0,32.0,0.1875289636315938,0.1909294065744244,0.12685470665065865,0.0886193862734387,0.7058823529411765,0.6551724137931034,0.20482621791628414,0.2107476857828502,0.1382629610050117,-0.0062420494071877,0.5384615384615384,0.47619047619047616,0.3055555555555556,0.3125,0.16666666666666666,0.15625,0.10773704646204868,0.6805273833671399,32.0,0.15184252313547666
magic_repo60_c440_c5gt3_regime,36.0,32.0,0.1875289636315938,0.1909294065744244,0.12685470665065865,0.0886193862734387,0.7058823529411765,0.6551724137931034,0.20482621791628414,0.2107476857828502,0.1382629610050117,-0.0062420494071877,0.5384615384615384,0.47619047619047616,0.3055555555555556,0.3125,0.16666666666666666,0.15625,0.10773704646204868,0.6805273833671399,32.0,0.15184252313547666
magic_repo50_c440_c5gt8_regime,50.0,46.0,0.1665559510993383,0.1597482444232622,0.11421754934251345,0.0886193862734387,0.6875,0.627906976744186,0.17757592426750732,0.17752122891696226,0.10944659031411355,0.02516896465925235,0.5882352941176471,0.5357142857142857,0.26,0.2608695652173913,0.16,0.15217391304347827,0.10141846780797607,0.657703488372093,46.0,0.14445916548239468
magic_repo50_c440_c5gt5_regime,50.0,46.0,0.1665559510993383,0.1597482444232622,0.11421754934251345,0.0886193862734387,0.6875,0.627906976744186,0.17757592426750732,0.17752122891696226,0.10944659031411355,0.02516896465925235,0.5882352941176471,0.5357142857142857,0.26,0.2608695652173913,0.16,0.15217391304347827,0.10141846780797607,0.657703488372093,46.0,0.14445916548239468
