price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2021,magic_repo60_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c425_c5gt3_regime,8,8,0.2777586417501652,0.1735274746225018,0.75,8,0.3164700721791024,0.18103598600151322,0.75,0.125,0.0
raw,2024,magic_repo60_c425_c5gt3_regime,1,1,-0.1383610867673587,-0.1383610867673587,0.0,1,-0.3415846951051295,-0.3415846951051295,0.0,0.0,0.0
raw,2025,magic_repo60_c425_c5gt3_regime,2,2,-0.17288833688337216,-0.17288833688337216,0.0,2,-0.32611177468108216,-0.32611177468108216,0.0,0.0,0.0
raw,2026,magic_repo60_c425_c5gt3_regime,9,8,0.3476337609140543,0.27708838783418965,1.0,2,0.6503701935546868,0.6503701935546868,1.0,0.2222222222222222,0.0
raw,2021,magic_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_c425_c5gt5_regime,11,11,0.23562597732319138,0.1687216839924045,0.7272727272727273,11,0.2958114314081859,0.2041720210847484,0.8181818181818182,0.09090909090909091,0.0
raw,2024,magic_c425_c5gt5_regime,6,6,-0.04266364060100988,-0.07518354620105801,0.3333333333333333,6,-0.07441534880694256,-0.06853646617454555,0.3333333333333333,0.0,0.0
raw,2025,magic_c425_c5gt5_regime,6,6,0.006481014734117177,-0.034548583981297204,0.5,6,-0.03769586805666277,-0.09559127103382205,0.5,0.0,0.0
raw,2026,magic_c425_c5gt5_regime,18,16,0.2203912283388558,0.2035788432752588,0.8125,3,0.4627831832289502,0.4267191606423355,1.0,0.2777777777777778,0.16666666666666666
raw,2021,magic_repo40_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c425_c5gt5_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo40_c425_c5gt5_regime,4,4,-0.06342126086035912,-0.07518354620105801,0.25,4,-0.0852572883309412,-0.06853646617454555,0.25,0.0,0.0
raw,2025,magic_repo40_c425_c5gt5_regime,5,5,-0.043130912681978585,-0.1149241292437165,0.4,5,-0.11818975437793597,-0.2226971005148718,0.4,0.0,0.0
raw,2026,magic_repo40_c425_c5gt5_regime,17,15,0.2585468730860199,0.2062655613599279,0.8666666666666667,3,0.4627831832289502,0.4267191606423355,1.0,0.23529411764705882,0.11764705882352941
raw,2021,magic_repo50_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c425_c5gt5_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo50_c425_c5gt5_regime,2,2,-0.115453628975631,-0.115453628975631,0.0,2,-0.23029283110670445,-0.23029283110670445,0.0,0.0,0.0
raw,2025,magic_repo50_c425_c5gt5_regime,3,3,-0.09998323749520739,-0.1149241292437165,0.3333333333333333,3,-0.20690299697164552,-0.2226971005148718,0.3333333333333333,0.0,0.0
raw,2026,magic_repo50_c425_c5gt5_regime,15,13,0.2857530673584228,0.2062655613599279,0.9230769230769231,3,0.4627831832289502,0.4267191606423355,1.0,0.2,0.13333333333333333
raw,2021,magic_repo60_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c425_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c425_c5gt5_regime,8,8,0.2777586417501652,0.1735274746225018,0.75,8,0.3164700721791024,0.18103598600151322,0.75,0.125,0.0
raw,2024,magic_repo60_c425_c5gt5_regime,1,1,-0.1383610867673587,-0.1383610867673587,0.0,1,-0.3415846951051295,-0.3415846951051295,0.0,0.0,0.0
raw,2025,magic_repo60_c425_c5gt5_regime,2,2,-0.17288833688337216,-0.17288833688337216,0.0,2,-0.32611177468108216,-0.32611177468108216,0.0,0.0,0.0
raw,2026,magic_repo60_c425_c5gt5_regime,9,8,0.3476337609140543,0.27708838783418965,1.0,2,0.6503701935546868,0.6503701935546868,1.0,0.2222222222222222,0.0
raw,2021,magic_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2022,magic_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2023,magic_c425_c5gt8_regime,11,11,0.23562597732319138,0.1687216839924045,0.7272727272727273,11,0.2958114314081859,0.2041720210847484,0.8181818181818182,0.09090909090909091,0.0
raw,2024,magic_c425_c5gt8_regime,6,6,-0.04266364060100988,-0.07518354620105801,0.3333333333333333,6,-0.07441534880694256,-0.06853646617454555,0.3333333333333333,0.0,0.0
raw,2025,magic_c425_c5gt8_regime,6,6,0.006481014734117177,-0.034548583981297204,0.5,6,-0.03769586805666277,-0.09559127103382205,0.5,0.0,0.0
raw,2026,magic_c425_c5gt8_regime,18,16,0.2203912283388558,0.2035788432752588,0.8125,3,0.4627831832289502,0.4267191606423355,1.0,0.2777777777777778,0.16666666666666666
raw,2021,magic_repo40_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c425_c5gt8_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c425_c5gt8_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo40_c425_c5gt8_regime,4,4,-0.06342126086035912,-0.07518354620105801,0.25,4,-0.0852572883309412,-0.06853646617454555,0.25,0.0,0.0
raw,2025,magic_repo40_c425_c5gt8_regime,5,5,-0.043130912681978585,-0.1149241292437165,0.4,5,-0.11818975437793597,-0.2226971005148718,0.4,0.0,0.0
