price_mode,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3,score_20d
raw,core_c1c2c3_regime,160,145,0.07710387524768743,0.0183793153585251,0.5103448275862069,111,0.1457165004994921,0.018823370871277,0.5135135135135135,0.35,0.23125,0.04044828087576648
raw,core_repo40_regime,119,106,0.08331592695881179,0.027499069549287297,0.5188679245283019,78,0.12575249858229456,0.018805778830223302,0.5128205128205128,0.36134453781512604,0.2184873949579832,0.05127265445494768
raw,core_repo50_regime,92,81,0.09552333446055308,0.0525575155163561,0.5555555555555556,58,0.14848452627187242,0.02516896465925235,0.5344827586206896,0.358695652173913,0.2391304347826087,0.08366862662746723
raw,core_repo60_regime,62,55,0.12219830695663488,0.0588583076158053,0.5818181818181818,43,0.11787288896265054,-0.0820721005148719,0.46511627906976744,0.3548387096774194,0.20967741935483872,0.09072194397944165
raw,magic_c425_c5gt3_regime,40,39,0.11749797149633223,0.0588583076158053,0.6153846153846154,27,0.12372291765760483,0.1303765929666711,0.5925925925925926,0.15,0.05,0.09193523069272838
raw,magic_repo40_c425_c5gt3_regime,35,34,0.13845548921733153,0.061396070871456446,0.6470588235294118,23,0.11634796585935887,0.0876091625774768,0.5652173913043478,0.14285714285714285,0.02857142857142857,0.0995578355773388
raw,magic_repo50_c425_c5gt3_regime,29,28,0.1600912874704612,0.09711369626144224,0.6785714285714286,19,0.1329834993079133,0.0876091625774768,0.5789473684210527,0.13793103448275862,0.034482758620689655,0.14007798197572796
raw,magic_repo60_c425_c5gt3_regime,19,18,0.2014873243049348,0.13241297965884863,0.7222222222222222,13,0.1717697945201725,0.1312840180507503,0.5384615384615384,0.15789473684210525,0.0,0.18160742410329309
raw,magic_c425_c5gt5_regime,39,38,0.12526364620041808,0.061396070871456446,0.631578947368421,26,0.13129325263705904,0.1308303055087107,0.6153846153846154,0.15384615384615385,0.05128205128205128,0.09746186034514065
raw,magic_repo40_c425_c5gt5_regime,34,33,0.1480328575954001,0.0639338341271076,0.6666666666666666,22,0.12495950029879356,0.10944659031411355,0.5909090909090909,0.14705882352941177,0.029411764705882353,0.10576716746044093
raw,magic_repo50_c425_c5gt5_regime,28,27,0.17259828579377204,0.1302935583957769,0.7037037037037037,18,0.14443290436991987,0.10944659031411355,0.6111111111111112,0.14285714285714285,0.03571428571428571,0.17803429913651764
raw,magic_repo60_c425_c5gt5_regime,19,18,0.2014873243049348,0.13241297965884863,0.7222222222222222,13,0.1717697945201725,0.1312840180507503,0.5384615384615384,0.15789473684210525,0.0,0.18160742410329309
raw,magic_c425_c5gt8_regime,39,38,0.12526364620041808,0.061396070871456446,0.631578947368421,26,0.13129325263705904,0.1308303055087107,0.6153846153846154,0.15384615384615385,0.05128205128205128,0.09746186034514065
raw,magic_repo40_c425_c5gt8_regime,34,33,0.1480328575954001,0.0639338341271076,0.6666666666666666,22,0.12495950029879356,0.10944659031411355,0.5909090909090909,0.14705882352941177,0.029411764705882353,0.10576716746044093
raw,magic_repo50_c425_c5gt8_regime,28,27,0.17259828579377204,0.1302935583957769,0.7037037037037037,18,0.14443290436991987,0.10944659031411355,0.6111111111111112,0.14285714285714285,0.03571428571428571,0.17803429913651764
raw,magic_repo60_c425_c5gt8_regime,19,18,0.2014873243049348,0.13241297965884863,0.7222222222222222,13,0.1717697945201725,0.1312840180507503,0.5384615384615384,0.15789473684210525,0.0,0.18160742410329309
raw,magic_c440_c5gt3_regime,72,69,0.11198832885749199,0.0639338341271076,0.5942028985507246,50,0.11430293941022665,0.02516896465925235,0.52,0.2916666666666667,0.18055555555555555,0.10077441383725252
raw,magic_repo40_c440_c5gt3_regime,62,59,0.13436953784789135,0.0886193862734387,0.6271186440677966,42,0.12890777846089185,0.02516896465925235,0.5238095238095238,0.2903225806451613,0.1774193548387097,0.12954311508699803
raw,magic_repo50_c440_c5gt3_regime,51,49,0.1595324078675369,0.1078523856364951,0.673469387755102,35,0.17041358952248697,0.0876091625774768,0.5714285714285714,0.2549019607843137,0.1568627450980392,0.15529626318751552
raw,magic_repo60_c440_c5gt3_regime,36,34,0.1875289636315938,0.12685470665065865,0.7058823529411765,26,0.20482621791628414,0.1382629610050117,0.5384615384615384,0.3055555555555556,0.16666666666666666,0.17703117723889397
raw,magic_c440_c5gt5_regime,71,68,0.1162469464474394,0.07627661020027315,0.6029411764705882,49,0.1181276073942763,0.0315145584472277,0.5306122448979592,0.29577464788732394,0.18309859154929578,0.1146148454943908
raw,magic_repo40_c440_c5gt5_regime,61,58,0.13974828276352616,0.0965587336914219,0.6379310344827587,41,0.13383493871135763,0.0315145584472277,0.5365853658536586,0.29508196721311475,0.18032786885245902,0.13939494058797364
raw,magic_repo50_c440_c5gt5_regime,50,48,0.1665559510993383,0.11421754934251345,0.6875,34,0.17757592426750732,0.10944659031411355,0.5882352941176471,0.26,0.16,0.16421754934251348
raw,magic_repo60_c440_c5gt5_regime,36,34,0.1875289636315938,0.12685470665065865,0.7058823529411765,26,0.20482621791628414,0.1382629610050117,0.5384615384615384,0.3055555555555556,0.16666666666666666,0.17703117723889397
raw,magic_c440_c5gt8_regime,71,68,0.1162469464474394,0.07627661020027315,0.6029411764705882,49,0.1181276073942763,0.0315145584472277,0.5306122448979592,0.29577464788732394,0.18309859154929578,0.1146148454943908
